Characters,Compressed Binary,,,
B,0000001,,,
C,0000010,,,
D,0000011,,,
E,0000100,,,
F,0000101,,,
G,0000110,,,
H,0000111,,,
J,0001000,,,
K,0001001,,,
L,0001010,,,
M,0001011,,,
N,0001100,,,
O,0001101,,,
P,0001110,,,
Q,0001111,,,
S,0010000,,,
T,0010001,,,
U,0010010,,,
V,0010011,,,
W,0010100,,,
X,0010101,,,
Y,0010110,,,
Z,0010111,,,
b,0011000,,,
c,0011001,,,
d,0011010,,,
f,0011011,,,
g,0011100,,,
h,0011101,,,
j,0011110,,,
k,0011111,,,
l,0100000,,,
m,0100001,,,
n,0100010,,,
o,0100011,,,
p,0100100,,,
q,0100101,,,
s,0100110,,,
t,0100111,,,
u,0101000,,,
v,0101001,,,
w,0101010,,,
x,0101011,,,
y,0101100,,,
z,0101101,,,
.,0101110,,,
",",0101111,,,
-,0110000,,,
!,0110001,,,
,0110010,,,
"""",0110011,,,
\n,0110100,,,
#,0110101,,,
:,0110110,,,
',0110111,,,
0,0111000,,,
1,0111001,,,
2,0111010,,,
3,0111011,,,
4,0111100,,,
5,0111110,,,
6,0111111,,,
A,1001,,,
I,1011,,,
R,1010,,,
a,1101,,,
e,1100,,,
i,1111,,,
r,1110,,,
 ,1000,,,
